Code	Description	Information
67SL	PROFESSOR SIEDLECKI	<country>POLAND</country><notes>WAS SIEDLECKI before 1968</notes>
67WI	WIECZNO	<country>POLAND</country>
681A	CARMO, OLIVEIRA E.	<country>PORTUGAL</country>
6890	MULTIPLE SHIPS	<country>PORTUGAL</country>
6899	UNKNOWN PLATFORMS	<country>PORTUGAL</country>
68AA	MAURICIO DE OLIVEIRA	<country>PORTUGAL</country>
68AB	A. ALBUQUERQUE	<country>PORTUGAL</country>
68AC	DAMIAO DE GOIS	<country>PORTUGAL</country>
68AD	JOAO ROBY	<country>PORTUGAL</country>
68AE	COMANDANTE HERMENEGILDO CAPELO	<country>PORTUGAL</country><callsign>CTFS</callsign>
68AF	COMANDANTE SACADURA CABRAL	<country>PORTUGAL</country>
68AG	COMANDANTE ROBERTO IVENS	<country>PORTUGAL</country><callsign>CTFT</callsign>
68AH	AGUAS VIVAS	<country>PORTUGAL</country><platformclass>31 Research vessel</platformclass><callsign>CSHG</callsign><commissioned>1995</commissioned>
68AI	MESTRE COSTEIRO	<IMO>6606844</IMO><country>PORTUGAL</country><platformclass>36 Fishing vessel</platformclass><callsign>CUJB2</callsign><commissioned>1973</commissioned><decommissioned>2005</decommissioned><previous_name>Margie Barry</previous_name>
68AL	ALBACORA	<country>PORTUGAL</country>
68AM	ALMIRANTE LACERDA	<country>PORTUGAL</country>
68AN	ANDROMEDA	<title>RV</title><country>PORTUGAL</country><callsign>CTHK</callsign>
68AQ	ALFONSO DE ALBERQUERQUE	<country>PORTUGAL</country><callsign>CTHD</callsign><notes>1979-03-09</notes>
68AR	ARQUIPELAGO	<IMO>9086277</IMO><country>PORTUGAL</country><platformclass>31 Research vessel</platformclass><callsign>CSNT</callsign>
68AU	AURIGA	<title>RV</title><country>PORTUGAL</country><callsign>CTHL</callsign>
68AV	ALVARES CABRAL	<country>PORTUGAL</country><callsign>CTFK</callsign>
68BS	BOLDAQUE DA SILVA	<country>PORTUGAL</country>
68CA	ALMEIDA CARVALHO	<country>PORTUGAL</country><platformclass>31 Research vessel</platformclass><commissioned>1972</commissioned><decommissioned>2001</decommissioned><pennant>A527</pennant><notes>Hydrographic institute research vessel operated by the Portuguese navy.</notes>
68CI	CINCO DE OUTUBRO	<country>PORTUGAL</country>
68CR	CORTE REAL	<country>PORTUGAL</country>
68DC	DIOGO CAO	<country>PORTUGAL</country>
68DM	D. Carlos I	<title>NRP</title><country>PORTUGAL</country><callsign>CTHJ</callsign><pennant>A522</pennant><notes>Name is Dom Carlos I</notes><previous_name>USNS Audacious</previous_name>
68GA	GOA	<country>PORTUGAL</country>
68GC	ALMIRANTE GAGO COUTINHO	<country>PORTUGAL</country><platformclass>31 Research vessel</platformclass><callsign>CTHA</callsign><commissioned>1999</commissioned><pennant>A523</pennant><notes>transfered to the Portuguese Navy in 1999</notes><previous_name>USNS  Assurance</previous_name>
68JC	JOAO COUTINHO	<country>PORTUGAL</country><callsign>CTFA</callsign>
68JD	JOAO DE LISBOA	<country>PORTUGAL</country>
68JS	S. JORGE	<country>PORTUGAL</country>
68NA	NORUEGA	<country>PORTUGAL</country><platformclass>31 Research vessel</platformclass><callsign>CSDJ</callsign><notes>Fishery research vessel operated by IPIMAR.</notes>
68SA	SARDINELLA	<country>PORTUGAL</country>
68SC	SALVADOR CORREIA	<country>PORTUGAL</country>
68SG	SAGRES	<country>PORTUGAL</country>
68SM	SAO MIGUEL	<country>PORTUGAL</country>
68XN	XU-NAUTA	<country>PORTUGAL</country><platformclass>32 Vessel of opportunity</platformclass><callsign>CRA4809</callsign><commissioned>2008-12-23</commissioned><notes>owner registry: Subnauta-com e Aluguer de Emb. e Art. Nauticos S.A.</notes>
7301	Steaua de Mare	<title>RV</title><country>ROMANIA</country><platformclass>31 Research vessel</platformclass><callsign>YQLA</callsign><notes>Operated by the Romanian Marine Research Institute</notes>
7390	MULTIPLE SHIPS OF ROMANIA	<country>ROMANIA</country><platformclass>32 Vessel of opportunity</platformclass>
73AA	Mare Nigrum	<IMO>7119408</IMO><country>ROMANIA</country><platformclass>31 Research vessel</platformclass><callsign>YQPT</callsign><commissioned>2002-01-01</commissioned><notes>Geo Ecomar research vessel</notes><previous_name>Somes</previous_name>
73CN	CONSTANTA	<country>ROMANIA</country><notes>1961-1982</notes>
73DE	30 DECEMBER	<country>ROMANIA</country><notes>1960-1961</notes>
73IS	Istros	<country>ROMANIA</country><platformclass>31 Research vessel</platformclass><callsign>YQPT</callsign><commissioned>2007-01-04</commissioned><notes>Coastal research vessel operated by GeoEcoMar</notes>
73MA	MAREA NEAGRA	<country>ROMANIA</country><notes>1960-1960</notes>
73NM	NM 112	<country>ROMANIA</country><notes>1960-1960</notes>
73NS	NS 116	<country>ROMANIA</country><notes>1960-1960</notes>
7400	Hope	<title>FV</title><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><pennant>LR 191</pennant><notes>Fishing vessel used by CEFAS for Young Fish Surveys.</notes>
7401	CASPIAN	<IMO>9162772</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MXSX5</callsign><pennant>BF38</pennant><notes>Built in Macduff, Port Scrabster.</notes>
7402	APLYSIA	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>2MXC</callsign><commissioned>1977</commissioned><decommissioned>2010</decommissioned><notes>Coastal RV operated by University Marine Biological Station, Millport, Scotland. Replaced by RV Actinia in 2010.</notes>
7403	MARGARET ANNE II	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><pennant>OB198</pennant><notes>Built in Dunbar.</notes>
7404	GLEN TARFF	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><notes>Small inshore vessel chartered for Scottish Sea Loch work by FRS Aberdeen Marine Laboratory.  Active in 2007</notes>
7405	CALLISTA	<country>UNITED KINGDOM</country><callsign>MJUS7</callsign><notes>Coastal RV owned and operated by National Oceanography Centre, Southampton. In service as at 2006-01.</notes>
7406	BILL CONWAY	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>MNAT6</callsign><notes>Coastal RV owned and operated by National Oceanography Centre, Southampton. In service as at 2006-01.</notes>
7407	TRITON	<title>RV</title><IMO>4906551</IMO><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>MZLP6</callsign><commissioned>2005</commissioned><notes>Experimental trimaran bought as a survey vessel by Gardline Surveys in 2005. Reported as leased to the Australian Government for use as a customs patrol vessel.</notes>
7408	OCEAN TRUST	<country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MBKM6</callsign><pennant>OB38</pennant><notes>Built in Macduff.</notes>
7409	ROUTE: FOLKESTONE - BOULOGNE	<country>UNITED KINGDOM</country><notes>1957-1966</notes>
740A	EASTELLA	<title>MV</title><country>UNITED KINGDOM</country><commissioned>1987-12-24</commissioned><decommissioned>1990-02-22</decommissioned><previous_name>FALKLANDS RIGHT 1</previous_name>
740C	KINGS CROSS	<title>MFV</title><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MBLM</callsign>
740D	NUCELLA	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass>
740E	Challenge 'A'	<title>FV</title><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><callsign>MZRS5</callsign><commissioned>1982</commissioned><pennant>WY 133</pennant><notes>Fishing vessel chartered by the CEFAS (formerly MAFF) for Young Fish Surveys. Listed as Challenge &quot;A&quot; in Fishing Vessel Register, but Challenge in some MAFF documentation.</notes>
740F	TAMARIS	<country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>2SWL</callsign><notes>PML Coastal research vessel</notes>
740G	SQUILLA	<country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><notes>PML Coastal research vessel.</notes>
740H	RRS JAMES COOK	<title>RRS</title><IMO>9338242</IMO><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>MLRM6</callsign><commissioned>2006-08</commissioned><notes>NERC RV.</notes>
740I	CALANUS	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><notes>By Scottish Marine Biological Association 1947-1980</notes>
740M	JANE	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><notes>Small inshore research vessel used by NERC (IMER) in the early 1970s.</notes>
740Q	EREBUS	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><decommissioned>1845</decommissioned><notes>Hecla-class bomb vessel refitted for working in the Antarctic and used for exploration in the Antarctic in the 1840s, captained by James Clark Ross.  Her fate, along with HMS Terror was to become icebound and abandoned by her crew in the infamous Franklin expedition in 1845 under the command of Sir John Franklin.</notes>
740R	HMS RATTLESNAKE	<country>UNITED KINGDOM</country><notes>CIRCA 1847</notes>
740S	Gleaner	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GSXU</callsign><commissioned>1983-12-05</commissioned><pennant>H86</pennant><notes>Naval coastal survey vessel. Smallest commissioned ship in the Royal Navy and in service as of 2009-08.</notes>
740U	NOCTILUCA	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>ZNAL9</callsign><commissioned>2001</commissioned><notes>University of Swansea research vessel. In service 2009-08.</notes>
740V	ROAGAN	<title>RV</title><country>UNITED KINGDOM</country><platformclass>31 Research vessel</platformclass><callsign>MNCN7</callsign><commissioned>1982</commissioned><decommissioned>2005</decommissioned><notes>University of Liverpool Port Erin Marine Laboratory research vessel until the laboratory closed. Ship was advertised for sale as a fishing vessel in 2005. Subsequent fate unknown.</notes>
740W	SAMARANG	<country>UNITED KINGDOM</country><notes>NODC: 1840s</notes>
740Z	BLOSSOM	<country>UNITED KINGDOM</country>
741A	EDINBURGH	<country>UNITED KINGDOM</country>
741B	GLOUCESTER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GBBF</callsign><commissioned>1985-09-11</commissioned><decommissioned>2011-06-30</decommissioned><pennant>D96</pennant><notes>Royal Navy Type 42 destroyer.</notes>
741C	BOXER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1983-12-22</commissioned><decommissioned>1999-08-04</decommissioned><pennant>F92</pennant><notes>Royal Navy Type 22 frigate. Sunk as a target after decommissioning.</notes>
741D	CHIDDINGFOLD	<country>UNITED KINGDOM</country>
741E	LEEDS CASTLE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GBRE</callsign><commissioned>1981-10-27</commissioned><decommissioned>2005-08-08</decommissioned><pennant>P258</pennant><notes>Royal Navy Castle-class patrol vessel. Sold to Bangladesh after decommissioning.</notes>
741F	DUMBARTON CASTLE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GBRF</callsign><commissioned>1982-03-12</commissioned><decommissioned>2008</decommissioned><pennant>P265</pennant><notes>Royal Navy Castle-class patrol vessel. Sold to Bangladesh after decommissioning.</notes>
741G	PLOVER	<country>UNITED KINGDOM</country>
741H	STARLING	<country>UNITED KINGDOM</country>
741J	SWALLOW	<country>UNITED KINGDOM</country>
741K	SWIFT	<country>UNITED KINGDOM</country>
741L	LOWESTOFT	<country>UNITED KINGDOM</country><notes>F-103</notes>
741M	PEARLEAF	<country>UNITED KINGDOM</country><notes>A-77</notes>
741N	PLUMLEAF	<country>UNITED KINGDOM</country><notes>A-78</notes>
741P	LEANDER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1963-03</commissioned><decommissioned>1987-04</decommissioned><pennant>F109</pennant><notes>Leander-class frigate of the Royal Navy sunk as a target in 1989.</notes>
741Q	PENELOPE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1963-10-31</commissioned><decommissioned>1991</decommissioned><pennant>F127</pennant><notes>Royal Navy Leander-class frigate. Sold to Ecuador Navy and renamed Presidente Eloy Alfaro after decommissioning.</notes>
741R	AURORA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1964-04-09</commissioned><decommissioned>1987-04-28</decommissioned><pennant>F10</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
741S	EURYALUS	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1964-09-16</commissioned><decommissioned>1989-03-31</decommissioned><pennant>F15</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
741T	GLAMORGAN	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1966-10-11</commissioned><decommissioned>1986</decommissioned><pennant>D19</pennant><notes>Royal Navy County-class destroyer. Sold to the Chilean Navy and renamed Almirante Latorre after decommissioning.</notes>
741U	FIFE	<country>UNITED KINGDOM</country><notes>D-20</notes>
741V	ARETHUSA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1965-11-24</commissioned><decommissioned>1989-04-04</decommissioned><pennant>F38</pennant><notes>Royal Navy Leander-class frigate. Sunk as a target after decommissioning.</notes>
741W	NAIAD	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1965-03-17</commissioned><decommissioned>1987-04</decommissioned><pennant>F39</pennant><notes>Royal Navy Leander-class frigate. Sunk as a target after decommissioning.</notes>
741X	NOVA SCOTIA	<country>UNITED KINGDOM</country>
741Y	CLEOPATRA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1966-01-04</commissioned><decommissioned>1992-01-31</decommissioned><pennant>F28</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
741Z	MINERVA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1966-05-14</commissioned><decommissioned>1992-03</decommissioned><pennant>F45</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
742A	AMAZON	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1974-05-11</commissioned><decommissioned>1993-09-30</decommissioned><pennant>F169</pennant><notes>Royal Navy Type 21 frigate. Sold to Pakistan and renamed PNS Babur after decommissioning.</notes>
742B	GAMBADA	<country>UNITED KINGDOM</country>
742C	ARIADNE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1973-02-10</commissioned><decommissioned>1992-05</decommissioned><pennant>F72</pennant><notes>Royal Navy Leander-class frigate. Sold to Chile and renamed General Baquedano after decommissioning.</notes>
742D	ARGONAUT	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1967-08-17</commissioned><decommissioned>1993-03-31</decommissioned><pennant>F56</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
742E	JUNO	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1967-07-18</commissioned><decommissioned>1992-11-04</decommissioned><pennant>F52</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
742F	OLNA	<country>UNITED KINGDOM</country><notes>A-23</notes>
742G	DART AMERICA	<country>UNITED KINGDOM</country>
742H	WILTON	<country>UNITED KINGDOM</country>
742J	OLMEDA	<country>UNITED KINGDOM</country><notes>A-124</notes>
742K	DANAE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1967-10-10</commissioned><decommissioned>1991</decommissioned><pennant>F47</pennant><notes>Royal Navy Leander-class frigate. Sold to Ecuador and renamed Moran Valverde after decommissioning.</notes>
742L	AMBUSCADE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1975-09-05</commissioned><decommissioned>1993-07-28</decommissioned><pennant>F172</pennant><notes>Royal Navy Type 21 frigate. Sold to Pakistan and renamed PNS Tariq after decommissioning.</notes>
742M	ARROW	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1976-07-28</commissioned><decommissioned>1994-03-01</decommissioned><pennant>F173</pennant><notes>Royal Navy Type 21 frigate. Sold to Pakistan and renamed PNS Khaibar after decommissioning.</notes>
742N	CARDIFF	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GQIF</callsign><commissioned>1979-09-24</commissioned><decommissioned>2005-07-14</decommissioned><pennant>D108</pennant><notes>Royal Navy Type 42 destroyer.</notes>
742P	NEWCASTLE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GQIH</callsign><commissioned>1978-03-23</commissioned><decommissioned>2005-02-01</decommissioned><pennant>D87</pennant><notes>Royal Navy Type 42 destroyer.</notes>
742Q	GLASGOW	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GQIJ</callsign><commissioned>1977-05-25</commissioned><decommissioned>2005-02-01</decommissioned><pennant>D88</pennant><notes>Royal Navy Type 42 destroyer.</notes>
742R	OLWEN	<country>UNITED KINGDOM</country><callsign>GQKA</callsign>
742S	ENGADINE	<title>RFA</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1967-12-15</commissioned><decommissioned>1989-03</decommissioned><pennant>K08</pennant><notes>Royal Fleet Auxiliary helicopter support vessel. Scrapped in India.</notes>
742T	Celtic Dawn II	<IMO>8996396</IMO><country>UNITED KINGDOM</country><platformclass>36 Fishing vessel</platformclass><commissioned>2005-03</commissioned><pennant>K76</pennant><notes>Fishing vessel designed for crabbing based in Orkney and chartered occasionally by FRS Marine Laboratory for fisheries research work</notes>
742U	GOLD ROVER	<title>RFA</title><IMO>7306221</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GRET</callsign><commissioned>1974-03-22</commissioned><pennant>A271</pennant><notes>Royal Fleet Auxiliary tanker.</notes>
742V	RESOURCE	<country>UNITED KINGDOM</country><callsign>GRFE</callsign>
742W	REGENT	<country>UNITED KINGDOM</country>
742X	HERMIONE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1969-07-11</commissioned><decommissioned>1992-06-30</decommissioned><pennant>F58</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
742Y	ABDIEL	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1967-10-17</commissioned><decommissioned>1988</decommissioned><pennant>N21</pennant><notes>Royal Navy minelayer. Scrapped after decommissioning.</notes>
742Z	GAVINGTON	<country>UNITED KINGDOM</country>
7434	ROUTE: SOUTHHAMPTON - LE HAVRE	<country>UNITED KINGDOM</country><notes>1958-1964</notes>
743A	FORT GRANGE	<country>UNITED KINGDOM</country><callsign>GSEU</callsign>
743B	FORT AUSTIN	<country>UNITED KINGDOM</country><callsign>GSEV</callsign>
743C	SIR BEDIVERE	<title>RFA</title><IMO>6617154</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GSRE</callsign><commissioned>1967-05-18</commissioned><decommissioned>2008-02-18</decommissioned><pennant>L3004</pennant><notes>Royal Fleet Auxillary Round Table-class landing ship logistic. Sold to Brazil and renamed NDCC Almirante Saboia after decommissioning.</notes>
743D	KELLINGTON	<country>UNITED KINGDOM</country><notes>M-1154</notes>
743E	MONKTON	<country>UNITED KINGDOM</country><notes>P-1155</notes>
743F	ANDROMEDA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1968-12-02</commissioned><decommissioned>1993-06</decommissioned><pennant>F57</pennant><notes>Royal Navy Leander-class frigate. Sold to India and renamed INS Krishna after decommissioning.</notes>
743G	JUPITER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1969-08-09</commissioned><decommissioned>1992-04-22</decommissioned><pennant>F60</pennant><notes>Royal Navy Leander-class frigate. Scrapped after decommissioning.</notes>
743H	BICKINGTON	<country>UNITED KINGDOM</country>
743J	POLLINGTON	<country>UNITED KINGDOM</country>
743K	SHERATON	<country>UNITED KINGDOM</country><notes>M-1181</notes>
743L	STUBBINGTON	<country>UNITED KINGDOM</country>
743M	WOLVERTON	<country>UNITED KINGDOM</country><notes>P-1193</notes>
743N	WOTTON	<country>UNITED KINGDOM</country><notes>M-1195</notes>
743P	UPTON	<country>UNITED KINGDOM</country><notes>M-1187</notes>
743Q	INVINCIBLE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1980-07-11</commissioned><decommissioned>2005-08-03</decommissioned><pennant>R05</pennant><notes>WOD 6061. Royal Navy Invincible-class aircraft carrier.</notes>
743R	AVENGER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1978-04-15</commissioned><decommissioned>1994-09-23</decommissioned><pennant>F185</pennant><notes>Royal Navy Type 21 frigate. Sold to Pakistan and renamed PNS Tippu Sultan after decommissioning.</notes>
743S	CYGNET	<country>UNITED KINGDOM</country>
743T	LONDON GLORY	<country>UNITED KINGDOM</country>
743U	ARDMAY	<country>UNITED KINGDOM</country>
743V	NURTON	<country>UNITED KINGDOM</country><notes>M-1166</notes>
743W	JERSEY	<country>UNITED KINGDOM</country>
743X	GUERNSEY	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GUYW</callsign><commissioned>1977-10-28</commissioned><decommissioned>2002</decommissioned><pennant>P297</pennant><notes>Royal Navy Island-class offshore patrol vessel.  Sold to Bangladeshi Navy as BNS Sangu.</notes>
743Y	SHETLAND	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GUYX</callsign><commissioned>1977-07-14</commissioned><decommissioned>2002</decommissioned><pennant>P298</pennant><notes>Royal Navy Island-class offshore patrol vessel.  Sold to Bangladeshi Navy as BNS Kapatakhaya.</notes>
743Z	ORKNEY	<country>UNITED KINGDOM</country>
7440	NEWTON	<title>RMAS</title><IMO>7342940</IMO><country>UNITED KINGDOM</country><platformclass>32 Vessel of opportunity</platformclass><callsign>GURN</callsign><pennant>A367</pennant><notes>GRV, MOD, RMAS Service, major conversions 1993 and 2000</notes>
744A	LINDISFARNE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1978-03-03</commissioned><decommissioned>2003</decommissioned><pennant>P300</pennant><notes>Royal Navy Island-class offshore patrol vessel.  Sold to Bangladeshi Navy as BNS Turag.</notes>
744B	SIR TRISTRAM	<country>UNITED KINGDOM</country><notes>L-3505</notes>
744C	SIR GERAINT	<country>UNITED KINGDOM</country><notes>L-3027</notes>
744D	RELIANT	<country>UNITED KINGDOM</country><notes>A-84</notes>
744E	SIR PERCIVALE	<country>UNITED KINGDOM</country><notes>L-3036</notes>
744F	ILLUSTRIOUS	<country>UNITED KINGDOM</country>
744G	EXETER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GVUJ</callsign><commissioned>1980-09-19</commissioned><decommissioned>2009-05-27</decommissioned><pennant>D89</pennant><notes>Royal Navy Type 42 destroyer.</notes>
744H	SOUTHAMPTON	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GVUK</callsign><commissioned>1981-10-31</commissioned><decommissioned>2009-02-12</decommissioned><pennant>D90</pennant><notes>Royal Navy Type 42 destroyer.</notes>
744J	BRILLIANT	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1981-05-15</commissioned><decommissioned>1996</decommissioned><pennant>F90</pennant><notes>Royal Navy Type 22 frigate. Sold to the Brazilian Navy and renamed Dodsworth after decommissioning.</notes>
744K	CHARYBDIS	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1969-06-02</commissioned><decommissioned>1991-09-30</decommissioned><pennant>F75</pennant><notes>Royal Navy Leander-class frigate. Sunk as a target after decommissioning.</notes>
744L	SCYLLA	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GXDE</callsign><commissioned>1970-02-12</commissioned><decommissioned>1993-12</decommissioned><pennant>F71</pennant><notes>Royal Navy Leander-class frigate. Sunk as an artificial reef after decommissioning.</notes>
744M	ANGLESEY	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GXYR</callsign><commissioned>1979-06</commissioned><decommissioned>2003-08-23</decommissioned><pennant>P277</pennant><notes>Royal Navy Island-class offshore patrol vessel.  Sold to Bangladeshi Navy as BNS Gormati.</notes>
744N	SENTINEL	<country>UNITED KINGDOM</country>
744O	City of Manchester	<IMO>7709980</IMO><country>UNITED KINGDOM</country><platformclass>35 Vessel of opportunity on fixed route</platformclass><commissioned>1985-09-07</commissioned><decommissioned>2007-06-01</decommissioned><notes>Container vessel used as ship of opportunity to collect CPR data for SAHFOS. Built in UK. Re-registeres as Laxfoss at the Bahamas in 1984-09-03, re-registered in the UK as City of Manchester 1985-09-07. Re-registered in the Isle of Man 1991-11-01. Re-registered in the Netherlands Antilles as the City 2007-06-02. Hull is active as at 2007-10. Previous Code: 74AY</notes><previous_name>Laxfoss</previous_name><previous_code>74AY</previous_code>
744P	MANCHESTER	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GYHG</callsign><commissioned>1982-12-16</commissioned><decommissioned>2011-02-24</decommissioned><pennant>D95</pennant><notes>Royal Navy Type 42 destroyer.</notes>
744Q	COTTESMORE	<country>UNITED KINGDOM</country>
744R	ACHILLES	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1970-07-09</commissioned><decommissioned>1990-01</decommissioned><pennant>F12</pennant><notes>Royal Navy Leander-class frigate. Sold to Chile and renamed Ministro Zenteno after decommissioning</notes>
744S	DIOMEDE	<title>HMS</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1971-04-02</commissioned><decommissioned>1988-05-31</decommissioned><pennant>F16</pennant><notes>Royal Navy Leander-class frigate. Sold to the Pakistani Navy and renamed PNS Shamsheer after decommissioning.</notes>
744T	MANCHESTER CONCORDE	<country>UNITED KINGDOM</country>
744U	GREEN ROVER	<title>RFA</title><IMO>6923034</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1969-08-15</commissioned><decommissioned>1992</decommissioned><pennant>A268</pennant><notes>Royal Fleet Auxillary fleet tanker. Sold to Indonesia and renamed KRI Arun after decommissioning.</notes>
744V	GREY ROVER	<title>RFA</title><IMO>6923163</IMO><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><callsign>GYXM</callsign><commissioned>1970-03-10</commissioned><decommissioned>2006-02-24</decommissioned><pennant>A269</pennant><notes>Royal Fleet Auxillary fleet tanker. Scrapped after decommissioning.</notes>
744W	BLUE ROVER	<title>RFA</title><country>UNITED KINGDOM</country><platformclass>39 Naval vessel</platformclass><commissioned>1970-07-15</commissioned><decommissioned>1993-02-23</decommissioned><pennant>A270</pennant><notes>Royal Fleet Auxillary fleet tanker. Sold to Portugal and renamed NRP Berrio after decommissioning.</notes>
